120,430
240,158
360,197
480,112
600,112
720,105
840,82
960,116
1080,84
1200,66
1320,64
1440,78
1560,55
1680,59
1800,42
1920,71
2040,49
2160,39
2280,25
2400,48
2520,42
2640,20
2760,36
2880,2
3000,0
3120,0
3240,2
3360,1
3480,2
3600,0
3720,0
3840,1
3960,0
4080,1
4200,0
4320,0
