Day,Introducing Commits,Commits,% Buggy Commits,P-value
Mon,1137,4912,0.231473941368,0.161745415806405454877983490921903632116
Tues,1071,4780,0.224058577406,0.01427405768457848842359310749686217208797
Wed,1080,4666,0.231461637377,0.1677142559976758018424953141827093455243
Thur,1166,5023,0.232132191917,0.1871035081879549110219892316646893157956
Fri,1124,4669,0.24073677447,0.3109129234698623953183838364395995020394
Sat,846,3535,0.239321074965,0.409851907589560863021563718949935878228
Sun,964,3513,0.274409336749,2.455295456856421639422033802005467977617e-7
Overall,7388,31098,0.23757154801
