Day,Introducing Commits,Commits,% Buggy Commits,P-value
Mon,346,1741,0.198736358415,0.3400597426741025065612858647083077177564
Tues,346,1792,0.193080357143,0.1539564753423125772708403683115611650977
Wed,377,1916,0.196764091858,0.2572320368050092723581150642107076122831
Thur,397,1913,0.207527443806,0.3215754295305441529003626056221562660253
Fri,385,1853,0.207771181867,0.3151885809238396269457205506454087526645
Sat,168,768,0.21875,0.1499794018126828751512905984127265788062
Sun,181,852,0.212441314554,0.2597441219795694402496623462084430108757
Overall,2200,10835,0.203045685279
