Day,Introducing Commits,Commits,% Buggy Commits,P-value
Mon,9974,38488,0.259145707753,0.01921795301788003711459828137797623864668
Tues,10232,39880,0.256569709127,0.1762305261412558096057928841036514552914
Wed,9912,39259,0.252477139,0.1768281038745271284559573057450200811505
Thur,9467,37331,0.253596206906,0.3419627911740722295171749950801276623258
Fri,8658,34497,0.250978345943,0.06562465487319278220122833236401745776547
Sat,4374,16847,0.2596307948,0.06559290492422572418839035381032460563633
Sun,3973,16030,0.247847785402,0.02636755410069555691857453015022167822851
Overall,56590,222332,0.254529262544
