,Job,Daily,Weekly,Monthly,Other,Single,Overall
Mon,28.4298780488,24.5563665295,32.1549339072,33.4554973822,27.0888973674,22.5672877847,25.9197672002
Tues,32.0788530466,24.4643813605,30.6988098871,31.4930388862,26.6688807705,23.2245681382,25.7071213641
Wed,35.7076780759,24.185747624,28.4463894967,30.5119107957,25.724881996,24.3128964059,25.2859216995
Thur,27.4834437086,24.1761394198,30.7792631236,31.0986964618,26.7801857585,25.4004576659,25.4185529453
Fri,29.8495645289,23.9723878255,28.7205387205,32.5969827586,25.7797078563,22.691292876,25.1790010726
Sat,33.8842975207,24.6445850391,33.1428571429,37.9542395693,25.0659630607,28.6486486486,25.9883651905
Sun,33.3333333333,23.5914946454,31.2918660287,33.2802547771,27.4869109948,21.3973799127,24.7785402371
Average,30.6438599322,24.2561826101,30.4502106897,32.2811039591,26.3845480685,23.7901736239,25.4935209215
