,Job,Daily,Weekly,Monthly,Other,Single,Overall
Mon,0,0.0155768505125,0,0,0.025,0,0.0155812930195
Tues,0,0.0144349803542,0,0,0.0975609756098,0,0.0144464438876
Wed,0,0.0124193514834,0.0,0,0.0,0,0.0124192038515
Thur,0,0.0135396393933,0.0275229357798,0,0.0267686424474,0,0.0135765041785
Fri,0,0.0155007522029,0.0,0,0,0,0.0155006927148
Sat,0,0.012605498948,0.0,0,0.0,0,0.0126053201449
Sun,0,0.00850601894973,0,0,0.0327868852459,0,0.00850927984853
Average,0,0.0128032116722,0.0271903323263,0,0.0307076101469,0,0.0128117581107
