,Job,Daily,Weekly,Monthly,Other,Single,Overall
Mon,1339,28058,3246,1934,3275,636,38488
Tues,1165,28944,3274,2117,3665,715,39880
Wed,1108,28774,3122,1862,3740,653,39259
Thur,1249,27088,3001,2078,3327,588,37331
Fri,1280,24708,2998,1748,3242,521,34497
Sat,132,13003,1284,733,1444,250,16846
Sun,109,12555,1000,663,1402,301,16030
Average,6382,163130,17925,11135,20095,3664,222331
