,Job,Daily,Weekly,Monthly,Other,Single,Overall
Mon,53.1292569659,35.7172424525,45.974422188,44.5152770585,36.6459036514,25.1598101266,37.6340016083
Tues,48.3024691358,38.9957150911,44.1659535452,46.4615021256,36.6621844127,23.1570827489,39.6220888355
Wed,66.8170055453,37.7442402375,56.0035267714,48.0327956989,34.6238605898,24.0569230769,40.0927715396
Thur,38.9587458746,42.8061084142,61.2103333333,44.4597977853,38.8828502415,17.366894198,43.5533274128
Fri,46.7111472742,43.0220647232,49.5318651985,43.7824842587,47.2922981751,20.1791907514,43.8716688952
Sat,53.984496124,32.918036934,43.3154205607,55.0504774898,33.504867872,28.004,34.951188428
Sun,88.2211538462,54.04354199,75.4074074074,45.4856711916,33.4126074499,28.6976744186,52.9010689861
Average,51.193626658,40.1286322871,51.987050681,46.0998382459,37.9109034579,23.0999726102,41.2837929909
