,Job,Daily,Weekly,Monthly,Other,Single,Overall
Mon,0,51.9959125281,0.0,0,13.3333333333,0,51.819218241
Tues,0,62.4635427611,0.0,0,6.83333333333,0,62.2107135384
Wed,0,72.2859291085,0.4,0,0.333333333333,0,72.1163737677
Thur,0,61.9870388833,65.4,0,174.333333333,0,62.0575353374
Fri,0,55.951900365,0.111111111111,0,0.0,0.0,55.8083101306
Sat,0,59.9815655133,0.142857142857,0,1.0,0,59.8297029703
Sun,0,129.53479749,0.0,0,15.25,0,129.294050669
Average,0,68.5320692657,6.24528301887,0,23.40625,0.0,68.3772711194
