,Job,Daily,Weekly,Monthly,Other,Single,Overall
Mon,27.7819268111,24.4636110913,31.9470117067,32.4715615305,28.1832061069,23.8993710692,25.9197672002
Tues,31.2446351931,24.2710060807,31.093463653,32.4043457723,26.8485675307,24.4755244755,25.7071213641
Wed,34.3862815884,24.1537499131,29.1159513133,29.0010741139,26.0695187166,26.3399693721,25.2859216995
Thur,27.4619695757,24.0770821028,30.8563812063,32.4350336862,26.2398557259,25.6802721088,25.4185529453
Fri,29.609375,23.8505747126,29.2194796531,32.6659038902,26.2492288711,22.2648752399,25.1790010726
Sat,33.3333333333,24.3020841344,34.5794392523,38.6084583902,26.0387811634,28.4,25.9883651905
Sun,31.1926605505,23.3930704898,32.5,34.8416289593,26.604850214,23.9202657807,24.7785402371
Average,30.0376057662,24.1224790045,30.8786610879,32.4472384374,26.648420005,24.8089519651,25.4935209215
