,Job,Daily,Weekly,Monthly,Other,Single,Overall
Mon,1312,28909,3253,1910,2621,483,38488
Tues,1116,29872,3277,2083,3011,521,39880
Wed,1081,29567,3199,1973,2966,473,39259
Thur,1208,27887,3067,2148,2584,437,37331
Fri,1263,25496,2970,1856,2533,379,34497
Sat,121,13435,1225,743,1137,185,16846
Sun,96,12886,1045,628,1146,229,16030
Average,6197,168052,18036,11341,15998,2707,222331
