Job,6888,7827,0.880030663089
Daily,108754,168367,0.645934179501
Weekly,16119,21517,0.749128595994
Monthly,15337,20957,0.731831846161
Single,2003,3664,0.546670305677
total,149101,222332,0.670623212133
