,Job,Daily,Weekly,Monthly,Other,Single,Overall
Mon,0.998506348021,0.556668329888,0.721195317314,0.747156153051,0.698625954198,0.473270440252,0.606188942008
Tues,0.923605150215,0.534342177999,0.730910201588,0.868209730751,0.598090040928,0.552447552448,0.585757271815
Wed,1.0559566787,0.516820740947,0.732863549007,0.804511278195,0.608021390374,0.670750382848,0.574110395069
Thur,0.771817453963,0.546367395157,0.806731089637,0.788257940327,0.668470093177,0.585034013605,0.599796415847
Fri,0.92578125,0.531002104582,0.735490326885,0.704805491991,0.619987661937,0.474088291747,0.579731570861
Sat,1.09090909091,0.521879566254,0.841900311526,1.12141882674,0.63296398892,0.612,0.587676599786
Sun,0.844036697248,0.512863401035,0.868,0.849170437406,0.688302425107,0.415282392027,0.564691203993
Average,0.935130053275,0.533936124563,0.758549511855,0.811495285137,0.640308534461,0.546670305677,0.587286523247
